date,name,pos_percentage,voters_count,url
2019-10-16,Krystopia: A Puzzle Journey,94,34,https://store.steampowered.com/app/1172170/Krystopia_A_Puzzle_Journey/?snr=1_7_7_240_150_58
2019-10-16,Your Island -KIMI NO SIMA-,81,94,https://store.steampowered.com/app/1087720/Your_Island_KIMI_NO_SIMA/?snr=1_7_7_240_150_58
2019-10-16,Alone in the War,,,https://store.steampowered.com/app/1114910/Alone_in_the_War/?snr=1_7_7_240_150_58
2019-10-17,Six Ages: Ride Like the Wind,70,10,https://store.steampowered.com/app/881420/Six_Ages_Ride_Like_the_Wind/?snr=1_7_7_240_150_58
2019-10-17,Autonauts,85,21,https://store.steampowered.com/app/979120/Autonauts/?snr=1_7_7_240_150_58
2019-10-17,"Warhammer 40,000: Gladius - Fortification Pack",80,25,https://store.steampowered.com/app/1170010/Warhammer_40000_Gladius__Fortification_Pack/?snr=1_7_7_240_150_58
2019-10-17,Hello Neighbor Alpha 3,74,27,https://store.steampowered.com/app/1092730/Hello_Neighbor_Alpha_3/?snr=1_7_7_240_150_58
2019-10-17,Little Big Workshop,71,28,https://store.steampowered.com/app/574720/Little_Big_Workshop/?snr=1_7_7_240_150_58
2019-10-17,Steel Division 2 - Death on the Vistula,87,39,https://store.steampowered.com/app/1165510/Steel_Division_2__Death_on_the_Vistula/?snr=1_7_7_240_150_58
2019-10-17,Felix The Reaper,86,114,https://store.steampowered.com/app/919410/Felix_The_Reaper/?snr=1_7_7_240_150_54
2019-10-17,Felix The Reaper,86,114,https://store.steampowered.com/app/919410/Felix_The_Reaper/?snr=1_7_7_240_150_58
2019-10-17,Digimon Story Cyber Sleuth: Complete Edition,84,197,https://store.steampowered.com/app/1042550/Digimon_Story_Cyber_Sleuth_Complete_Edition/?snr=1_7_7_240_150_58
2019-10-17,Erannorth Reborn,88,286,https://store.steampowered.com/app/1055990/Erannorth_Reborn/?snr=1_7_7_240_150_58
2019-10-17,Sea Salt,82,353,https://store.steampowered.com/app/983350/Sea_Salt/?snr=1_7_7_240_150_58
2019-10-17,Dark Miasma,,,https://store.steampowered.com/app/1070440/Dark_Miasma/?snr=1_7_7_240_150_58
2019-10-17,Six Ages Original Soundtrack,,,https://store.steampowered.com/app/1159200/Six_Ages_Original_Soundtrack/?snr=1_7_7_240_150_58
2019-10-17,Steel Division 2 - Reinforcement Pack #5 - Smart Orders,,,https://store.steampowered.com/app/1167050/Steel_Division_2__Reinforcement_Pack_5__Smart_Orders/?snr=1_7_7_240_150_58
2019-10-17,Steel Division 2 - Reinforcement Pack #4 - Brest,,,https://store.steampowered.com/app/1167040/Steel_Division_2__Reinforcement_Pack_4__Brest/?snr=1_7_7_240_150_58
2019-10-17,Steel Division 2 - Reinforcement Pack #3 - Zbuczyn,,,https://store.steampowered.com/app/1167030/Steel_Division_2__Reinforcement_Pack_3__Zbuczyn/?snr=1_7_7_240_150_58
2019-10-17,Steel Division 2 - Reinforcement Pack #2 - Gora Kalwaria,,,https://store.steampowered.com/app/1167020/Steel_Division_2__Reinforcement_Pack_2__Gora_Kalwaria/?snr=1_7_7_240_150_58
2019-10-17,Dark Miasma,,,https://store.steampowered.com/app/1070440/Dark_Miasma/?snr=1_7_7_240_150_58
2019-10-17,Sea Salt - Digital Deluxe Package,,,https://store.steampowered.com/app/1168480/Sea_Salt__Digital_Deluxe_Package/?snr=1_7_7_240_150_58
2019-10-18,Graviteam Tactics: Furtive Spring,88,18,https://store.steampowered.com/app/1158490/Graviteam_Tactics_Furtive_Spring/?snr=1_7_7_240_150_58
2019-10-18,Vegas Slot,60,28,https://store.steampowered.com/app/1094880/Vegas_Slot/?snr=1_7_7_240_150_58
2019-10-18,Moo Moo Move,96,31,https://store.steampowered.com/app/987880/Moo_Moo_Move/?snr=1_7_7_240_150_58
