,date,name,pos_percentage,voters_count,url
836,2019-07-31,Tanks Endeavor,,,https://store.steampowered.com/app/1006410/Tanks_Endeavor/?snr=1_7_7_240_150_17
848,2019-08-05,The Creature,,,https://store.steampowered.com/app/1119110/The_Creature/?snr=1_7_7_240_150_12
837,2019-08-13,Sproots,,,https://store.steampowered.com/app/1215410/Sproots/?snr=1_7_7_240_150_51
838,2019-08-14,Meta: Assembled,,,https://store.steampowered.com/app/1118640/Meta_Assembled/?snr=1_7_7_240_150_59
839,2019-08-16,Here Be Dragons,70.0,84.0,https://store.steampowered.com/app/945680/Here_Be_Dragons/?snr=1_7_7_240_150_50
840,2019-08-20,Mystic Mayhem Unleashed,,,https://store.steampowered.com/app/1129240/Mystic_Mayhem_Unleashed/?snr=1_7_7_240_150_54
841,2019-08-26,Endless World Idle RPG,71.0,59.0,https://store.steampowered.com/app/840260/Endless_World_Idle_RPG/?snr=1_7_7_240_150_54
842,2019-08-28,Pirates Outlaws,84.0,350.0,https://store.steampowered.com/app/1046300/Pirates_Outlaws/?snr=1_7_7_240_150_43
843,2019-08-28,Inbound UFO,,,https://store.steampowered.com/app/1093950/Inbound_UFO/?snr=1_7_7_240_150_10
844,2019-08-30,Perfect Crime,71.0,292.0,https://store.steampowered.com/app/666870/Perfect_Crime/?snr=1_7_7_240_150_26
845,2019-08-31,Good Goods Incorporated,,,https://store.steampowered.com/app/1218790/Good_Goods_Incorporated/?snr=1_7_7_240_150_51
846,2019-08-31,Dominos!,,,https://store.steampowered.com/app/1131230/Dominos/?snr=1_7_7_240_150_58
847,2019-08-31,It Pays To Be A Winner,,,https://store.steampowered.com/app/1114990/It_Pays_To_Be_A_Winner/?snr=1_7_7_240_150_60
849,2019-09-01,Welcome to Primrose Lake,75.0,12.0,https://store.steampowered.com/app/1177990/Welcome_to_Primrose_Lake/?snr=1_7_7_240_150_49
890,2019-09-02,HelixVision,65.0,82.0,https://store.steampowered.com/app/1127310/HelixVision/?snr=1_7_7_240_150_41
962,2019-09-03,Spark Five,,,https://store.steampowered.com/app/967210/Spark_Five/?snr=1_7_7_240_150_38
963,2019-09-03,Light Hunters: Battalion of Darkness,,,https://store.steampowered.com/app/1105530/Light_Hunters_Battalion_of_Darkness/?snr=1_7_7_240_150_56
978,2019-09-06,Restless Hero,,,https://store.steampowered.com/app/1164410/Restless_Hero/?snr=1_7_7_240_150_57
850,2019-09-12,Tower Of God: One Wish,,,https://store.steampowered.com/app/1199010/Tower_Of_God_One_Wish/?snr=1_7_7_240_150_50
851,2019-09-12,Rezist: Tower Defense,,,https://store.steampowered.com/app/1128520/Rezist_Tower_Defense/?snr=1_7_7_240_150_60
852,2019-09-15,One Hour Left,,,https://store.steampowered.com/app/1152990/One_Hour_Left/?snr=1_7_7_240_150_59
